"date","result_num","freshwater","forecast","uncertainty","nearterm","model_approach","notes","hydrological"
"2/24/2022 9:33:07",1,"yes; surface water","forecast","yes","no",NA,NA,NA
"2/24/2022 9:35:01",2,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 9:35:57",3,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 9:39:06",4,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 9:43:06",5,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 9:43:56",6,"yes; groundwater","forecast","yes","no",NA,NA,NA
"2/24/2022 9:44:30",7,"yes; surface water","forecast","yes","no",NA,NA,NA
"2/24/2022 9:44:59",8,"yes; surface water","forecast","yes","yes",NA,NA,NA
"2/24/2022 9:48:27",10,"yes; surface water","forecast","yes","yes",NA,NA,NA
"2/24/2022 9:50:47",11,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 9:51:24",12,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 9:52:24",13,"yes; surface water","forecast","yes","yes",NA,NA,NA
"2/24/2022 9:54:41",14,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 9:56:48",15,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/24/2022 10:00:14",16,"yes; surface water","none of the above","no","yes",NA,NA,NA
"2/24/2022 10:04:03",18,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 10:06:06",19,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 10:07:30",20,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 10:10:17",21,"yes; surface water","hindcast","no","yes",NA,NA,NA
"2/24/2022 10:16:29",22,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/24/2022 10:18:37",23,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 10:20:14",24,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 10:23:54",25,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/24/2022 10:26:27",26,"yes; surface water","forecast","yes","no",NA,NA,NA
"2/24/2022 10:27:21",27,"yes; surface water","forecast","yes","yes",NA,NA,NA
"2/24/2022 10:30:13",28,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 12:18:13",29,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 12:19:22",30,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 12:25:04",32,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/24/2022 12:31:35",33,"yes; surface water","forecast","no","no",NA,NA,NA
"2/24/2022 12:33:34",34,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 12:35:39",35,"yes; surface water","hindcast","no","yes",NA,NA,NA
"2/24/2022 12:38:15",36,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/24/2022 12:40:45",37,"yes; surface water","forecast","yes","no",NA,NA,NA
"2/24/2022 12:41:59",38,"yes; groundwater","forecast","no","no",NA,NA,NA
"2/24/2022 12:42:37",39,"yes; surface water","forecast","yes","yes",NA,NA,NA
"2/24/2022 12:46:17",40,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/24/2022 12:49:08",41,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 12:50:56",42,"yes; groundwater","nowcast","yes","yes",NA,NA,NA
"2/24/2022 12:51:14",43,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 12:56:25",44,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 12:57:12",45,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 13:05:17",46,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 13:06:16",47,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 13:09:27",48,"yes; surface water","forecast","yes","yes",NA,NA,NA
"2/24/2022 13:12:45",50,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 13:14:42",51,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 13:15:30",52,"yes; surface water","none of the above",NA,NA,NA,NA,NA
"2/24/2022 13:18:17",53,"yes; surface water","hindcast","no","yes",NA,NA,NA
"2/24/2022 13:20:52",54,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 13:23:36",55,"yes; surface water","hindcast","no","yes",NA,NA,NA
"2/24/2022 13:24:24",56,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 13:27:40",57,"yes; surface water","hindcast","yes","yes",NA,NA,NA
"2/24/2022 13:32:03",58,"yes; surface water","forecast","no","yes",NA,NA,NA
"2/26/2022 13:15:07",59,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)",NA,NA
"2/26/2022 13:17:38",60,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,NA
"2/26/2022 13:22:21",61,"yes; surface water","forecast","no","yes","other",NA,NA
"3/1/2022 8:08:45",62,"yes; surface water","hindcast","yes","yes",NA,NA,NA
