"hydro_plus_model_approach","Result Number","Article Title","Abstract","DOI...4","DOI...5","Author Full Names","Source Title","Author Keywords","Keywords Plus","Affiliations","Publisher","Publisher City","Publisher Address","ISSN","eISSN","ISBN","Journal Abbreviation","Journal ISO Abbreviation","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Article Number","...26"
FALSE,1,"Forecasting the combined effects of anticipated climate change and agricultural conservation practices on fish recruitment dynamics in Lake Erie","Many aquatic ecosystems are experiencing multiple anthropogenic stressors that threaten their ability to support ecologically and economically important fish species. Two of the most ubiquitous stressors are climate change and non-point source nutrient pollution. Agricultural conservation practices (ACPs, i.e. farming practices that reduce runoff, prevent erosion, and curb excessive nutrient loading) offer a potential means to mitigate the negative effects of non-point source pollution on fish populations. However, our understanding of how ACP implementation amidst a changing climate will affect fish production in large ecosystems that receive substantial upstream sediment and nutrient inputs remains incomplete. Towards this end, we explored how anticipated climate change and the implementation of realistic ACPs might alter the recruitment dynamics of three fish populations (native walleye Sander vitreus and yellow perch Perca flavescens and invasive white perch Morone americana) in the highly productive, dynamic west basin of Lake Erie. We projected future (2020-2065) recruitment under different combinations of anticipated climate change (n = 2 levels) and ACP implementation (n = 4 levels) in the western Lake Erie catchment using predictive biological models driven by forecasted winter severity, spring warming rate, and Maumee River total phosphorus loads that were generated from linked climate, catchment-hydrology, and agricultural-practice-simulation models. In general, our models projected reduced walleye and yellow perch recruitment whereas invasive white perch recruitment was projected to remain stable or increase relative to the recent past. Our modelling also suggests the potential for trade-offs, as ACP implementation was projected to reduce yellow perch recruitment with anticipated climate change. Overall, our study presents a useful modelling framework to forecast fish recruitment in Lake Erie and elsewhere, as well as offering projections and new avenues of research that could help resource management agencies and policy-makers develop adaptive and resilient management strategies in the face of anticipated climate and land-management change.","https://doi.org/10.1111/fwb.13515","10.1111/fwb.13515","Dippold, David A.; Aloysius, Noel R.; Keitzer, Steven Conor; Yen, Haw; Arnold, Jeffrey G.; Daggupati, Prasad; Fraker, Michael E.; Martin, Jay F.; Robertson, Dale M.; Sowa, Scott P.; Johnson, Mari-Vaughn V.; White, Mike J.; Ludsin, Stuart A.","FRESHWATER BIOLOGY","climate warming; eutrophication; fisheries management; multiple stressors; percid","STIZOSTEDION-VITREUM-VITREUM; LAURENTIAN GREAT-LAKES; PERCH PERCA-FLAVESCENS; FRESH-WATER FISHES; EASTERN BERING-SEA; YELLOW PERCH; WHITE PERCH; RE-EUTROPHICATION; MORONE-AMERICANA; ENVIRONMENTAL-FACTORS",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","0046-5070","1365-2427",NA,"FRESHWATER BIOL","Freshw. Biol.","SEP",2020,"65","9","1487","1508",NA,NA
TRUE,2,"Projecting the effects of agricultural conservation practices on stream fish communities in a changing climate","How anticipated climate change might affect long-term outcomes of present-day agricultural conservation practices remains a key uncertainty that could benefit water quality and biodiversity conservation planning. To explore this issue, we forecasted how the stream fish communities in the Western Lake Erie Basin (WLEB) would respond to increasing amounts of agricultural conservation practice (ACP) implementation under two IPCC future greenhouse gas emission scenarios (RCP4.5: moderate reductions; RCP8.5: business-as-usual conditions) during 2020-2065. We used output from 19 General Circulation Models to drive linked agricultural land use (APEX), watershed hydrology (SWAT), and stream fish distribution (boosted regression tree) models, subsequently analyzing how projected changes in habitat would influence fish community composition and functional trait diversity. Our models predicted both positive and negative effects of climate change and ACP implementation on WLEB stream fishes. For most species, climate and ACPs influenced species in the same direction, with climate effects outweighing those of ACP implementation. Functional trait analysis helped clarify the varied responses among species, indicating that more extreme climate change would reduce available habitat for large-bodied, cool-water species with equilibrium life-histories, many of which also are of importance to recreational fishing (e.g., northern pike, smallmouth bass). By contrast, available habitat forwarm-water, benthic species with more periodic or opportunistic life-histories (e.g., northern hogsucker, greater redhorse, greenside darter) was predicted to increase. Further, ACP implementation was projected to hasten these shifts, suggesting that efforts to improve water quality could come with costs to other ecosystem services (e.g., recreational fishing opportunities). Collectively, our findings demonstrate the need to consider biological outcomes when developing strategies to mitigate water quality impairment and highlight the value of physical-biological modeling approaches to agricultural and biological conservation planning in a changing climate. (C) 2020 The Authors. Published by Elsevier B.V.","https://doi.org/10.1016/j.scitotenv.2020.141112","10.1016/j.scitotenv.2020.141112","Fraker, Michael E.; Keitzer, S. Conor; Sinclair, James S.; Aloysius, Noel R.; Dippold, David A.; Yen, Haw; Arnold, Jeffrey G.; Daggupati, Prasad; Johnson, Mari-Vaughn V.; Martin, Jay F.; Robertson, Dale M.; Sowa, Scott P.; White, Michael J.; Ludsin, Stuart A.","SCIENCE OF THE TOTAL ENVIRONMENT","Best management practice; Coupled natural and human system; General Circulation Model; Multiple stressors; Species distribution model; Trait analysis","FRESH-WATER FISHES; LAND-USE CHANGE; LAKE-ERIE; FUNCTIONAL DIVERSITY; FLOW REGIMES; HISTORY; LIFE; IMPACTS; BIODIVERSITY; ASSEMBLAGES",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0048-9697","1879-1026",NA,"SCI TOTAL ENVIRON","Sci. Total Environ.","DEC 10",2020,"747",NA,NA,NA,"141112",NA
FALSE,3,"HMETS-A Simple and Efficient Hydrology Model for Teaching Hydrological Modelling, Flow Forecasting and Climate Change Impacts","Hydrological models are commonly used to forecast streamflow and for climate change impact studies. There is a wide range of hydrology models using lumped conceptual approaches all the way to more physically based distributed algorithms. Most of these models come with a steep learning curve before they can be used efficiently by the end user, and they can be tricky to calibrate appropriately. Only a small number of hydrology models can be considered easy to set up and use, and even fewer provide their source code for easy modification to be tailored to individual needs. These drawbacks make it difficult to use these models in educational applications. The goal of this paper is to introduce a very simple, yet efficient, lumped-conceptual hydrological model designed to address the above problems. The MATLAB-based HMETS hydrological model is simple and can be easily and quickly set up on a new watershed, including automatic calibration using state of the art optimization algorithms. Despite its simplicity, the model has proved to perform well against two other lumped-conceptual hydrological models over 320 watersheds. HMETS obtained a median Nash-Sutcliffe Efficiency of 0.72 in validation, compared to 0.64 for MOHYSE (similar structure) and 0.77 for HSAMI (more complex structure). The model's source code is freely available and includes an optional simplified user interface. A climate change impacts simulation tool using the constant scaling downscaling method is also incorporated to the interface. HMETS has been tested in the Construction Engineering Final-Year Project for a group of 60 undergraduate students.","https://doi.org/",NA,"Martel, Jean-Luc; Demeester, Kenjy; Brissette, Francois; Poulin, Annie; Arsenault, Richard","INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION","teaching hydrological modelling; rainfall-runoff model; lumped model; conceptual model; climate change impact studies","UNCERTAINTY; OPTIMIZATION; EQUIFINALITY",NA,"TEMPUS PUBLICATIONS","DURRUS, BANTRY","IJEE , ROSSMORE,, DURRUS, BANTRY, COUNTY CORK 00000, IRELAND","0949-149X",NA,NA,"INT J ENG EDUC","Int. J. Eng. Educ",NA,2017,"33","4","1307","1316",NA,NA
TRUE,4,"Comparing models using air and water temperature to forecast an aquatic invasive species response to climate change","Understanding invasive species spread and projecting how distributions will respond to climate change is a central task for ecologists. Typically, current and projected air temperatures are used to forecast future distributions of invasive species based on climate matching in an ecological niche modeling approach. While this approach was originally developed for terrestrial species, it has also been widely applied to aquatic species even though aquatic species do not experience air temperatures directly. In the case of lakes, species respond to lake thermal regimes, which reflect the interaction of climate and lake attributes such as depth, size, and clarity. The result is that adjacent waterbodies can differ notably in thermal regime. Given these obvious limitations of modeling aquatic species distributions using climate data, we take advantage of recent advances in simulating lake thermal regimes to model the distributions of invasive spiny water flea (Bythotrephes cederstromii) for current and projected future climates in the upper Midwest of the USA. We compared predictions and future projections from models based on modeled air temperatures with models based on modeled water temperature. All models predicted that the number of suitable lakes in the region will decrease with climate change. Models based on air and water temperature differed dramatically in the extent of this decrease. The air temperature model predicted 89% of study lakes to be suitable, with suitability declining dramatically in the late century with climate warming to just a single suitable lake. Lake suitability predictions from the water temperature model declined to a much lesser degree with warming (42% of lakes were predicted to be suitable, declining to 19% in the late century) and were more spatially independent. Our results expose the limitations of using air temperatures to model habitat suitability for aquatic species, and our study further highlights the importance of understanding lake-specific responses to climate when assessing aquatic species responses to climate change. While we project a contraction in the potential range ofBythotrepheswith warming in the study region, we anticipate thatBythotrepheswill likely continue to expand into new lakes that will remain suitable in the following decades.","https://doi.org/10.1002/ecs2.3137","10.1002/ecs2.3137","Walsh, Jake R.; Hansen, Gretchen J. A.; Read, Jordan S.; Vander Zanden, M. Jake","ECOSPHERE","aquatic invasive species; Bythotrephes cederstromii; climate change; ecological niche modeling; lakes","BYTHOTREPHES-LONGIMANUS; MAXIMUM-ENTROPY; NORTH-AMERICA; SPATIAL DATA; LAKES; HABITAT; PROJECTIONS; PREDICT; SPREAD; ESTABLISHMENT",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","2150-8925",NA,NA,"ECOSPHERE","Ecosphere","JUL",2020,"11","7",NA,NA,"e03137",NA
FALSE,5,"A Forecasting and Prediction Methodology for Improving the Blue Economy Resilience to Climate Change in the Romanian Lower Danube Euroregion","European Union (EU) policy encourages the development of a blue economy (BE) by unlocking the full economic potential of oceans, seas, lakes, rivers and other water resources, especially in member countries in which it represents a low contribution to the national economy (under 1%). However, climate change represents a main barrier to fully realizing a BE. Enabling conditions that will support the sustainable development of a BE and increase its climate resiliency must be promoted. Romania has high potential to contribute to the development of the EU BE due to its geographic characteristics, namely the presence of the Danube Delta-Black Sea macrosystem, which is part of the Romanian Lower Danube Euroregion (RLDE). Aquatic living resources represent a sector which can significantly contribute to the growth of the BE in the RLDE, a situation which imposes restrictions for both halting biodiversity loss and maintaining the proper conditions to maximize the benefits of the existing macrosystem. It is known that climate change causes water quality problems, accentuates water level fluctuations and loss of biodiversity and induces the destruction of habitats, which eventually leads to fish stock depletion. This paper aims to develop an analytical framework based on multiple linear predictive and forecast models that offers cost-efficient tools for the monitoring and control of water quality, fish stock dynamics and biodiversity in order to strengthen the resilience and adaptive capacity of the BE of the RLDE in the context of climate change. The following water-dependent variables were considered: total nitrogen (TN); total phosphorus (TP); dissolved oxygen (DO); pH; water temperature (wt); and water level, all of which were measured based on a series of 26 physicochemical indicators associated with 4 sampling areas within the RLDE (Braila, Galati, Tulcea and Sulina counties). Predictive models based on fish species catches associated with the Galati County Danube River Basin segment and the Danube Delta Biosphere Reserve Administration territory were included in the analytical framework to establish an efficient tool for monitoring fish stock dynamics and structures as well as identify methods of controlling fish biodiversity in the RLDE to enhance the sustainable development and resilience of the already-existing BE and its expansion (blue growth) in the context of aquatic environment climate variation. The study area reflects the integrated approach of the emerging BE, focused on the ocean, seas, lakes and rivers according to the United Nations Agenda. The results emphasized the vulnerability of the RLDE to climate change, a situation revealed by the water level, air temperature and water quality parameter trend lines and forecast models. Considering the sampling design applied within the RLDE, it can be stated that the Tulcea county Danube sector was less affected by climate change compared with the Galati county sector as confirmed by water TN and TP forecast analysis, which revealed higher increasing trends in Galati compared with Tulcea. The fish stock biodiversity was proven to be affected by global warming within the RLDE, since peaceful species had a higher upward trend compared with predatory species. Water level and air temperature forecasting analysis proved to be an important tool for climate change monitoring in the study area. The resulting analytical framework confirmed that time series methods could be used together with machine learning prediction methods to highlight their synergetic abilities for monitoring and predicting the impact of climate change on the marine living resources of the BE sector within the RLDE. The forecasting models developed in the present study were meant to be used as methods of revealing future information, making it possible for decision makers to adopt proper management solutions to prevent or limit the negative impacts of climate change on the BE. Through the identified independent variables, prediction models offer a solution for managing the dependent variables and the possibility of performing less cost-demanding aquatic environment monitoring activities.","https://doi.org/10.3390/su132111563","10.3390/su132111563","Petrea, Stefan Mihai; Zamfir, Cristina; Simionov, Ira Adeline; Mogodan, Alina; Nuta, Florian Marcel; Rahoveanu, Adrian Turek; Nancu, Dumitru; Cristea, Dragos Sebastian; Buhociu, Florin Marian","SUSTAINABILITY","blue economy; fish stocks; water quality; machine learning; forecast models","ARTIFICIAL NEURAL-NETWORKS; WATER-QUALITY INDEX; DISSOLVED-OXYGEN; CHANGE IMPACTS; FISH; RIVER; GROWTH; FISHERIES; LEVEL; NORTH",NA,"MDPI","BASEL","ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,"2071-1050",NA,"SUSTAINABILITY-BASEL","Sustainability","NOV",2021,"13","21",NA,NA,"11563",NA
FALSE,6,"A meta-modeling approach for hydrological forecasting under uncertainty: Application to groundwater nitrate response to climate change","We suggest a quantitative predictive approach based on meta-modeling techniques for long-term forecasting in hydrology. We apply our scalable methodological framework to a representative groundwater body in EmiliaRomagna region of Italy to evaluate the potential impact of climate change on groundwater nitrate concentration. The approach allows to (i) handle the uncertainty associated with the projection of climate variables, (ii) preserve an accurate description of flow and transport processes, and (iii) drastically accelerate computationally intensive simulations, at a time. A long-term climate scenario (i.e. referred to the 30-years 2061-2090) is developed for the study area by considering changes in the natural recharge to groundwater, the baseflow of the main rivers, and the rate of nitrate leaching. Global sensitivity analysis is performed to assess the relative influence of these factors on the quantity of interest (QoI), i.e. the long-term prediction of groundwater nitrate concentration. Our analysis enables also us to compute the spatial statistics and variability of the moments of the QoI over the study area and to perform Monte Carlo simulations to fully characterize the probabilistic behavior of the QoI at selected sensitive locations.","https://doi.org/10.1016/j.jhydrol.2021.127173","10.1016/j.jhydrol.2021.127173","Focaccia, S.; Panini, G.; Pedrazzoli, P.; Ciriello, V","JOURNAL OF HYDROLOGY","Meta-modeling; Polynomial chaos expansion; Nitrate contamination; Climate change; Groundwater","GLOBAL SENSITIVITY-ANALYSIS; POLYNOMIAL CHAOS; FRAMEWORK; IMPACTS",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0022-1694","1879-2707",NA,"J HYDROL","J. Hydrol.","DEC",2021,"603",NA,NA,NA,"127173",NA
FALSE,7,"A multi-scenario ensemble streamflow forecast method for Amu Darya River Basin under considering climate and land-use changes","Land-use and climate changes have impacts on hydrological processes for river basin. In this study, a multi-scenario ensemble streamflow forecast (MESF) method is developed for analyzing the streamflow variation under considering climate and land-use changes, through incorporating CA-Markov model, global climate model (GCM) and Soil and Water Assessment Tool (SWAT) model within a general framework. The advantages of MESF are as follows: (i) it can simultaneously assess the impacts of land-use and climate changes on streamflow; (ii) it can obtain the possible trend and the range of future streamflows through ensemble forecast under multiple scenarios; (iii) based on analysis of streamflow processes under extreme scenarios, it can examine the effects of key factors on streamflow. The MESF method is applied to the upper reaches of the Amu Darya River Basin in Central Asia. Totally 72 scenarios, under different land-use patterns, GCMs and Representative Concentration Pathways (RCPs), are analyzed. Ensemble forecast results reveal that (i) during 2021-2050, the average annual precipitation and the average annual temperature would both increase, but the mean annual streamflow would decrease; (ii) compared to the impact of land-use change, climate change has more obvious effects on the streamflow (with contribution of 78.8%-98.7%); (iii) among all factors of land-use change, glacier melting triggered by climate warming is the most prominent factor; (iv) the peak flow in one year would have a tendency to shift from summer to spring due to the rising temperature and the speeding up snow melt.","https://doi.org/10.1016/j.jhydrol.2021.126276","10.1016/j.jhydrol.2021.126276","Xu, Z. P.; Li, Y. P.; Huang, G. H.; Wang, S. G.; Liu, Y. R.","JOURNAL OF HYDROLOGY","CA-Markov; Climate change; Ensemble forecast; Land-use change; Multiple scenarios; SWAT","WATER-RESOURCES; CHANGE IMPACTS; COVER CHANGES; CA-MARKOV; HYDROLOGICAL RESPONSE; MODEL; UNCERTAINTY; SIMULATION; GLACIER; RAINFALL",NA,"ELSEVIER","AMSTERDAM","RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS","0022-1694","1879-2707",NA,"J HYDROL","J. Hydrol.","JUL",2021,"598",NA,NA,NA,"126276",NA
FALSE,8,"Forecasting water temperature in lakes and reservoirs using seasonal climate prediction","Seasonal climate forecasts produce probabilistic predictions of meteorological variables for subsequent months. This provides a potential resource to predict the influence of seasonal climate anomalies on surface water balance in catchments and hydro-thermodynamics in related water bodies (e.g., lakes or reservoirs). Obtaining seasonal forecasts for impact variables (e.g., discharge and water temperature) requires a link between seasonal climate forecasts and impact models simulating hydrology and lake hydrodynamics and thermal regimes. However, this link remains challenging for stakeholders and the water scientific community, mainly due to the probabilistic nature of these predictions. In this paper, we introduce a feasible, robust, and open-source workflow integrating seasonal climate forecasts with hydrologic and lake models to generate seasonal forecasts of discharge and water temperature profiles. The workflow has been designed to be applicable to any catchment and associated lake or reservoir, and is optimized in this study for four catchment-lake systems to help in their proactive management. We assessed the performance of the resulting seasonal forecasts of discharge and water temperature by comparing them with hydrologic and lake (pseudo)observations (reanalysis). Precisely, we analysed the historical performance using a data sample of past forecasts and reanalysis to obtain information about the skill (performance or quality) of the seasonal forecast system to predict particular events. We used the current seasonal climate forecast system (SEAS5) and reanalysis (ERA5) of the European Centre for Medium Range Weather Forecasts (ECMWF). We found that due to the limited predictability at seasonal time-scales over the locations of the four case studies (Europe and South of Australia), seasonal forecasts exhibited none to low performance (skill) for the atmospheric variables considered. Nevertheless, seasonal forecasts for discharge present some skill in all but one case study. Moreover, seasonal forecasts for water temperature had higher performance in natural lakes than in reservoirs, which means human water control is a relevant factor affecting predictability, and the performance increases with water depth in all four case studies. Further investigation into the skillful water temperature predictions should aim to identify the extent to which performance is a consequence of thermal inertia (i.e., lead-in conditions). (c) 2021 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license ( http://creativecommons.org/licenses/by-nc-nd/4.0/ )","https://doi.org/10.1016/j.watres.2021.117286","10.1016/j.watres.2021.117286","Mercado-Bettin, Daniel; Clayer, Francois; Shikhani, Muhammed; Moore, Tadhg N.; Frias, Maria Dolores; Jackson-Blake, Leah; Sample, James; Iturbide, Maialen; Herrera, Sixto; French, Andrew S.; Norling, Magnus Dahler; Rinke, Karsten; Marce, Rafael","WATER RESEARCH","Seasonal forecasting; Water management; Hydrologic modeling; Lake modeling","SKILL; PRECIPITATION; UNCERTAINTY; FRAMEWORK; MODELS; ENSO",NA,"PERGAMON-ELSEVIER SCIENCE LTD","OXFORD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","0043-1354","1879-2448",NA,"WATER RES","Water Res.","AUG 1",2021,"201",NA,NA,NA,"117286",NA
FALSE,10,"Enhancing Ensemble Seasonal Streamflow Forecasts in the Upper Colorado River Basin Using Multi-Model Climate Forecasts","In the Colorado River Basin (CRB), ensemble streamflow prediction (ESP) forecasts drive operational planning models that project future reservoir system conditions. CRB operational seasonal streamflow forecasts are produced using ESP, which represents climate using an ensemble of meteorological sequences of historical temperature and precipitation, but do not typically leverage additional real-time subseasonal-to-seasonal climate forecasts. Any improvements to streamflow forecasts would help stakeholders who depend on operational projections for decision making. We explore incorporating climate forecasts into ESP through variations on an ESP trace weighting approach, focusing on Colorado River unregulated inflows forecasts to Lake Powell. The k-nearest neighbors (kNN) technique is employed using North American Multi-Model Ensemble one- and three-month temperature and precipitation forecasts, and preceding three-month historical streamflow, as weighting factors. The benefit of disaggregated climate forecast information is assessed through the comparison of two kNN weighting strategies; a basin-wide kNN uses the same ESP weights over the entire basin, and a disaggregated-basin kNN applies ESP weights separately to four subbasins. We find in general that climate-informed forecasts add greater marginal skill in late winter and early spring, and that more spatially granular disaggregated-basin use of climate forecasts slightly improves skill over the basin-wide method at most lead times.","https://doi.org/10.1111/1752-1688.12960","10.1111/1752-1688.12960","Baker, Sarah A.; Rajagopalan, Balaji; Wood, Andrew W.","JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION","streamflow forecasts; trace weighting; subseasonal-to-seasonal; climate forecasts; Colorado River; NMME; reservoir inflows","PREDICTION; SKILL; COLUMBIA; MODEL; SCORE; ENSO",NA,"WILEY","HOBOKEN","111 RIVER ST, HOBOKEN 07030-5774, NJ USA","1093-474X","1752-1688",NA,"J AM WATER RESOUR AS","J. Am. Water Resour. Assoc.","DEC",2021,"57","6","906","922",NA,NA
FALSE,11,"Forecasting low flow conditions months in advance through teleconnection patterns, with a special focus on summer 2018","Over the past decades, Europe has been affected by several low flow periods which had substantial impacts on the hydrology of the rivers themselves as well as on the society and economy. Low flow periods have a direct impact on the environment, on the inland waterway navigation, on the hydropower production as well as on the sediment management, among others. Similar to floods, low flows are naturally occurring phenomena which can significantly hinder different uses and functions of the rivers and impact the aquatic system and the water quality. Moreover, it is projected that, in the future, climate change might lead to drier summers over the European region and therefore to more frequent and severe low flow periods. The results presented here show that the summer 2018 low flow situation, over the Rhine and Elbe Rivers basin, could have been predicted up to two seasons ahead by using previous months' sea surface temperature, sea level pressure, precipitation, mean air temperature and soil moisture. The lagged relationship between the predictand (e.g. seasonal streamflow) and the climate and oceanic predictors varies between 1 month (e.g. precipitation) up to 6 months (e.g. sea surface temperature). Taking into account that all predictors are available in real-time, the forecast scheme can be used to provide early warnings for the upcoming low flow situations, thus offering the possibility for better management of the water resources.","https://doi.org/10.1038/s41598-020-70060-8","10.1038/s41598-020-70060-8","Ionita, M.; Nagavciuc, V","SCIENTIFIC REPORTS",NA,"NORTH-ATLANTIC OSCILLATION; VARIABILITY; STREAMFLOW; DROUGHT; TEMPERATURE; CLIMATE",NA,"NATURE RESEARCH","BERLIN","HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY","2045-2322",NA,NA,"SCI REP-UK","Sci Rep","AUG 6",2020,"10","1",NA,NA,"13258",NA
