"date","result_num","freshwater","forecast","uncertainty","nearterm","model_approach","notes","hydrological","email"
"2/24/2022 9:33",1,"yes; surface water","forecast","yes","no","process-based",NA,"no","melofton@vt.edu"
"2/24/2022 9:35",2,"yes; surface water","forecast","yes","yes","numerical, machine",NA,"no","melofton@vt.edu"
"2/24/2022 9:35",3,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 9:39",4,"yes; surface water","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,"no","melofton@vt.edu"
"2/24/2022 9:43",5,"yes; surface water","none of the above",NA,NA,NA,NA,"no","melofton@vt.edu"
"2/24/2022 9:43",6,"yes; groundwater","forecast","yes","no","empirical",NA,"no","melofton@vt.edu"
"2/24/2022 9:44",7,"yes; surface water","forecast","yes","no","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 9:44",8,"yes; surface water","forecast","yes","yes","numerical",NA,"no","melofton@vt.edu"
"6/17/2022 8:53:01",9,"yes; surface water","none of the above",NA,NA,NA,"modeling study with proposed forecasting","no","melofton@vt.edu"
"2/24/2022 9:48",10,"yes; surface water","forecast","yes","yes","machine",NA,"yes","melofton@vt.edu"
"2/24/2022 9:50",11,"yes; surface water","hindcast","yes","yes","empirical",NA,"yes","melofton@vt.edu"
"2/24/2022 9:51",12,"yes; surface water","none of the above",NA,NA,NA,NA,"no","melofton@vt.edu"
"2/24/2022 9:52",13,"yes; surface water","forecast","yes","yes","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 9:54",14,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)",NA,"yes","melofton@vt.edu"
"2/24/2022 9:56",15,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)",NA,"yes","melofton@vt.edu"
"2/24/2022 10:00",16,"yes; surface water","none of the above","no","yes",NA,NA,"no","melofton@vt.edu"
"6/17/2022 8:44:07",17,"yes; surface water","forecast","yes","no","numerical, empirical",NA,"no","melofton@vt.edu"
"2/24/2022 10:04",18,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 10:06",19,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 10:07",20,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)",NA,"no","melofton@vt.edu"
"2/24/2022 10:10",21,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)",NA,"no","melofton@vt.edu"
"2/24/2022 10:16",22,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)",NA,"no","melofton@vt.edu"
"2/24/2022 10:18",23,"yes; surface water","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,"yes","melofton@vt.edu"
"2/24/2022 10:20",24,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)",NA,"yes","melofton@vt.edu"
"2/24/2022 10:23",25,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)",NA,"yes","melofton@vt.edu"
"2/24/2022 10:26",26,"yes; surface water","forecast","yes","no","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 10:27",27,"yes; surface water","forecast","yes","yes","machine",NA,"yes","melofton@vt.edu"
"2/24/2022 10:30",28,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)",NA,"yes","melofton@vt.edu"
"2/24/2022 12:18",29,"yes; surface water","hindcast","yes","yes","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 12:19",30,"yes; surface water","none of the above",NA,NA,NA,NA,"no","melofton@vt.edu"
"6/17/2022 8:45:53",31,"no",NA,NA,NA,NA,NA,NA,"melofton@vt.edu"
"2/24/2022 12:25",32,"yes; surface water","none of the above",NA,NA,NA,"IMPORTANT linking HAB forecasts to decision-making","no","melofton@vt.edu"
"2/24/2022 12:31",33,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)",NA,"no","melofton@vt.edu"
"2/24/2022 12:33",34,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 12:35",35,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,"yes","melofton@vt.edu"
"2/24/2022 12:38",36,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)",NA,"yes","melofton@vt.edu"
"2/24/2022 12:40",37,"yes; surface water","forecast","yes","no","empirical model but not a time series model (e.g. multiple regression)",NA,"no","melofton@vt.edu"
"2/24/2022 12:41",38,"yes; groundwater","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,"yes","melofton@vt.edu"
"2/24/2022 12:42",39,"yes; surface water","forecast","yes","yes","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 12:46",40,"yes; surface water","forecast","no","yes","empirical model but not a time series model (e.g. multiple regression)",NA,"yes","melofton@vt.edu"
"2/24/2022 12:49",41,"yes; surface water","hindcast","yes","yes","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 12:50",42,"yes; groundwater","nowcast","yes","yes","empirical",NA,"yes","melofton@vt.edu"
"2/24/2022 12:51",43,"yes; surface water","hindcast","yes","yes","numerical",NA,"no","melofton@vt.edu"
"2/24/2022 12:56",44,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 12:57",45,"yes; surface water","none of the above",NA,NA,NA,NA,"no","melofton@vt.edu"
"2/24/2022 13:05",46,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 13:06",47,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 13:09",48,"yes; surface water","forecast","yes","yes","machine",NA,"yes","melofton@vt.edu"
"2/24/2022 13:10:19",49,"no","forecast","no","no",NA,NA,NA,"melofton@vt.edu"
"2/24/2022 13:12",50,"yes; surface water","hindcast","yes","yes","empirical",NA,"yes","melofton@vt.edu"
"2/24/2022 13:14",51,"yes; surface water","hindcast","yes","yes","empirical",NA,"yes","melofton@vt.edu"
"2/24/2022 13:15",52,"yes; surface water","none of the above",NA,NA,NA,NA,"yes","melofton@vt.edu"
"2/24/2022 13:18",53,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)",NA,"no","melofton@vt.edu"
"2/24/2022 13:20",54,"yes; surface water","hindcast","yes","yes","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 13:23",55,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,"yes","melofton@vt.edu"
"2/24/2022 13:24",56,"yes; surface water","hindcast","yes","yes","numerical",NA,"yes","melofton@vt.edu"
"2/24/2022 13:27",57,"yes; surface water","hindcast","yes","yes","machine",NA,"yes","melofton@vt.edu"
"2/24/2022 13:32",58,"yes; surface water","forecast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)",NA,"yes","melofton@vt.edu"
