"result_num","freshwater","forecast","uncertainty","nearterm","model_approach","hydrological"
1,"yes; surface water","forecast","yes","no","process-based","no"
2,"yes; surface water","forecast","yes","yes","numerical, machine","no"
3,"yes; surface water","none of the above",NA,NA,NA,"yes"
4,"yes; surface water","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)","no"
5,"yes; surface water","none of the above",NA,NA,NA,"no"
6,"yes; groundwater","forecast","yes","no","empirical","no"
7,"yes; surface water","forecast","yes","no","numerical","yes"
8,"yes; surface water","forecast","yes","yes","numerical","no"
9,"yes; surface water","none of the above",NA,NA,NA,"no"
10,"yes; surface water","forecast","yes","yes","machine","yes"
11,"yes; surface water","hindcast","yes","yes","empirical","yes"
12,"yes; surface water","none of the above",NA,NA,NA,"no"
13,"yes; surface water","forecast","yes","yes","numerical","yes"
14,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
15,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
16,"yes; surface water","none of the above","no","yes",NA,"no"
17,"yes; surface water","forecast","yes","no","numerical, empirical","no"
18,"yes; surface water","none of the above",NA,NA,NA,"yes"
19,"yes; surface water","none of the above",NA,NA,NA,"yes"
20,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)","no"
21,"yes; surface water","hindcast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","no"
22,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)","no"
23,"yes; surface water","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
24,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
25,"yes; surface water","forecast","no","yes","time series model (e.g. ARIMA)","yes"
26,"yes; surface water","forecast","yes","no","numerical","yes"
27,"yes; surface water","forecast","yes","yes","machine","yes"
28,"yes; surface water","forecast","no","no","numerical ecosystem simulation (e.g. GLM-AED)","yes"
29,"yes; surface water","hindcast","yes","yes","numerical","yes"
30,"yes; surface water","none of the above",NA,NA,NA,"no"
31,"no",NA,NA,NA,NA,NA
32,"yes; surface water","none of the above",NA,NA,NA,"no"
33,"yes; surface water","forecast","no","no","empirical model but not a time series model (e.g. multiple regression)","no"
34,"yes; surface water","none of the above",NA,NA,NA,"yes"
35,"yes; surface water","hindcast","no","yes","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
36,"yes; surface water","forecast","no","yes","numerical ecosystem simulation (e.g. GLM-AED)","yes"
37,"yes; surface water","forecast","yes","no","empirical model but not a time series model (e.g. multiple regression)","no"
38,"yes; groundwater","forecast","no","no","machine learning, either process-guided or not process-guided (e.g. ANN)","yes"
39,"yes; surface water","forecast","yes","yes","numerical","yes"
