"Title","Authors","Journal","Year","DOI","result_num","Reviewer","ecosystem","other_ecosystem","phys_chem_bio","forecast_vars","min_horizon_days","max_horizon_days","skill_metrics","null_model","model_comparison","simple_null_model","uncertainty","iterative","automated","archived","motivation","end_user","engagement"
"Projecting the effects of agricultural conservation practices on stream fish communities in a changing climate","Fraker, Michael E.; Keitzer, S. Conor; Sinclair, James S.; Aloysius, Noel R.; Dippold, David A.; Yen, Haw; Arnold, Jeffrey G.; Daggupati, Prasad; Johnson, Mari-Vaughn V.; Martin, Jay F.; Robertson, Dale M.; Sowa, Scott P.; White, Michael J.; Ludsin, Stuart A.","SCIENCE OF THE TOTAL ENVIRONMENT","2020","https://doi.org/10.1016/j.scitotenv.2020.141112","2","MEL","other","Lake Erie sub-watershed basin","biological","fish habitat, fish traits",3650,20075,NA,"no","no","no","present","no","no","no/don't know","""How anticipated climate change might affect long-term outcomes of present-day agricultural conservation practices remains a key uncertainty""",NA,NA
"Forecasting water temperature in lakes and reservoirs using seasonal climate prediction","Mercado-Bettin, Daniel; Clayer, Francois; Shikhani, Muhammed; Moore, Tadhg N.; Frias, Maria Dolores; Jackson-Blake, Leah; Sample, James; Iturbide, Maialen; Herrera, Sixto; French, Andrew S.; Norling, Magnus Dahler; Rinke, Karsten; Marce, Rafael","WATER RESEARCH","2021","https://doi.org/10.1016/j.watres.2021.117286","8","MEL","other","lake and reservoir","physical","discharge, water temperature",30,120,"tercile plots, RPSS, ROCSS","no","no","no","propagates","yes","no","no/don't know","""seasonal prediction for water quality variables introduces an opportunity for controlling key variables in a feasible time-scale for
water management treatment""
",NA,NA
"Advancing lake and reservoir water quality management with near-term, iterative ecological forecasting","Carey, Cayelan C.; Woelmer, Whitney M.; Lofton, Mary E.; Figueiredo, Renato J.; Bookout, Bethany J.; Corrigan, Rachel S.; Daneshmand, Vahid; Hounshell, Alexandria G.; Howard, Dexter W.; Lewis, Abigail S. L.; McClure, Ryan P.; Wander, Heather L.; Ward, Nicole K.; Thomas, R. Quinn","INLAND WATERS",NA,"https://doi.org/10.1080/20442041.2020.1816421","43","MEL","reservoir",NA,"multiple","dissolved oxygen, water temperature",1,16,NA,"no","no","no","assimilates","yes","yes","yes","""The emerging discipline of ecological forecasting provides a novel approach for preemptively managing lakes and reservoirs in the face of increasing water quality variability....Forecasts provide managers with probabilistic estimates of future water quality conditions in their focal lake or reservoir, thus allowing them to take preemptive management actions to mitigate or prevent water quality impairment.""","Western Virginia Water Authority","discussion to identify target variables; observation of water treatment plant operations; feedback on forecast visualizations"
"Prediction of algal bloom occurrence based on the naive Bayesian model considering satellite image pixel differences","Mu, Meng; Li, Yunmei; Bi, Shun; Lyu, Heng; Xu, Jie; Lei, Shaohua; Miao, Song; Zeng, Shuai; Zheng, Zhubin; Du, Chenggong","ECOLOGICAL INDICATORS","2021","https://doi.org/10.1016/j.ecolind.2021.107416","68","MEL","lake",NA,"biological","algal bloom occurrence",1,7,"area under ROC curve (AUC); correctly classified instances (CCI%); AUC confidence interval","no","no","no","data_driven","no","no","no/don't know","""Bloom occurrence probability prediction is a critical issue for freshwater resource management and protection""",NA,NA
"A Near-Term Iterative Forecasting System Successfully Predicts Reservoir Hydrodynamics and Partitions Uncertainty in Real Time","Thomas, R. Quinn; Figueiredo, Renato J.; Daneshmand, Vahid; Bookout, Bethany J.; Puckett, Laura K.; Carey, Cayelan C.","WATER RESOURCES RESEARCH","2020","https://doi.org/10.1029/2019WR026138","76","MEL","reservoir",NA,"physical","water temperature",1,16,"RMSE, CRPS, CRPS skill, bias, reliability of confidence intervals","yes","yes","yes","assimilates","yes","yes","no/don't know","""Freshwater ecosystems are experiencing greater variability due to human activities, necessitating new tools to anticipate future water quality.""","Western Virginia Water Authority",NA
"Individual-based models forecast the spread and inform the management of an emerging riverine invader","Messager, Mathis L.; Olden, Julian D.","DIVERSITY AND DISTRIBUTIONS","2018","https://doi.org/10.1111/ddi.12829","88","MEL","other","basin","biological","Faxonius rusticus (rusty crayfish) occurrence",365,3285,NA,"no","no","no","data_driven","no","no","no/don't know","""Mounting ecological impacts of invasive species on freshwater ecosystems are among the greatest challenges confronting ecologists and decision-makers in conserving biodiversity and ecosystem function. Tools to slow the proliferation of aquatic invasive species are still needed to guide the allocation of limited resources more effectively and efficiently once a species is already established.""",NA,NA
"Water Temperature Ensemble Forecasts: Implementation Using the CEQUEAU Model on Two Contrasted River Systems","Ouellet-Proulx, Sebastien; St-Hilaire, Andre; Boucher, Marie-Amelie","WATER","2017","https://doi.org/10.3390/w9070457","133","MEL","river",NA,"physical","water temperature, discharge",1,5,"MCRPS, Brier score, reliability plots, ensemble spread","no","no","no","propagates","yes","no","no/don't know","""In some hydrological systems, mitigation strategies are applied based on short-range water temperature forecasts to reduce stress caused to aquatic organisms.""","managers at Skins Lake spillway",NA
"Calibration and quantifying uncertainty of daily water quality forecasts for large lakes with a Bayesian joint probability modelling approach","Peng, Zhaoliang; Hu, Yuemin; Liu, Gang; Hu, Weiping; Zhang, Hui; Gao, Rui","WATER RESEARCH","2020","https://doi.org/10.1016/j.watres.2020.116162","137","MEL","lake",NA,"chemical","dissolved oxygen, ammonium nitrogen, total phosphorus, total nitrogen",0,5,"bias, RMSEPSS, CRPS, attribute diagrams (reliability plots?), sharpness, PIT uniform probability plots","yes","yes","no","propagates","yes","no","no/don't know","""Correcting the systematic bias and quantifying uncertainty associated with the operational water quality forecasts are imperative works for risk-based environmental decision making""",NA,NA
"Assessing and Predicting the Water Resources Vulnerability under Various Climate-Change Scenarios: A Case Study of Huang-Huai-Hai River Basin, China","Chen, Yan; Feng, Yazhong; Zhang, Fan; Yang, Fan; Wang, Lei","ENTROPY","2020","https://doi.org/10.3390/e22030333","326","MEL","other","Huang-Huai-Hai Basin watershed basin","multiple","water resources vulnerability index",1825,5475,NA,"no","no","no","present","no","no","no/don't know","""The Huang-Huai-Hai River Basin plays an important strategic role in China<U+0092>s economic development, but severe water resources problems restrict the development of the three basins....there is a lack of research on the cause analysis and scenario prediction of water resources vulnerability (WRV) in the three basins, which is the very important foundation for the management of water resources.""",NA,NA
"Probabilistic forecast of microcystin toxin using satellite remote sensing, in situ observations and numerical modeling","Liu, Qianqian; Rowe, Mark D.; Anderson, Eric J.; Stow, Craig A.; Stumpf, Richard P.; Johengen, Thomas H.","ENVIRONMENTAL MODELLING & SOFTWARE","2020","https://doi.org/10.1016/j.envsoft.2020.104705","374","MEL","lake",NA,"chemical","probability of microcystin threshold exceedance",1,5,"probability of detection (POD), the probability of false detection (POFD), frequency bias (B), and the Pierce skill score (PSS), ROC, AUC, reliability diagrams","no","no","no","assimilates","yes","no","no/don't know","""Lake Erie has experienced a resurgence of cyanobacterial harmful algal blooms (CHABs) since the early 2000's dominated by Microcystis aeruginosa, which produce toxins known as microcystins. We develop an approach to predict the spatially- and temporally-resolved probability of exceeding a public health advisory (PHA) level (6 ?g/L) of microcystins in the western basin of Lake Erie""","Lake Erie stakeholders",NA
"Meteolakes: An operational online three-dimensional forecasting platform for lake hydrodynamics","Baracchini, Theo; Wuest, Alfred; Bouffard, Damien","WATER RESEARCH","2020","https://doi.org/10.1016/j.watres.2020.115529","411","MEL","lake",NA,"physical","water velocity, water temperature",0.125,4.5,"RMSE, visualization","no","no","no","assimilates","yes","yes","yes","""Environmental management depends on high-quality monitoring and its meaningful interpretation. The combination of local weather dynamics, regional anthropogenic stresses and global environmental changes make the evaluation of monitoring information in dynamic freshwater systems a challenging task""","Lake Geneva stakeholders: scientists, lake-related professionals, citizens",NA
"Iterative Forecasting Improves Near-Term Predictions of Methane Ebullition Rates","McClure, Ryan P.; Thomas, R. Quinn; Lofton, Mary E.; Woelmer, Whitney M.; Carey, Cayelan C.","FRONTIERS IN ENVIRONMENTAL SCIENCE","2021","https://doi.org/10.3389/fenvs.2021.756603","416","MEL","reservoir",NA,"chemical","methane ebullition rate",7,14,"RMSE, NSE","yes","yes","yes","assimilates","yes","no","yes","""Near-term, ecological forecasting with iterative model refitting and uncertainty partitioning has great promise for improving our understanding of ecological processes and the predictive skill of ecological models, but to date has been infrequently applied to predict biogeochemical fluxes. """,NA,NA
"Adaptive forecasting of phytoplankton communities","Page, Trevor; Smith, Paul J.; Beven, Keith J.; Jones, Ian D.; Elliott, J. Alex; Maberly, Stephen C.; Mackay, Eleanor B.; De Ville, Mitzi; Feuchtmayr, Heidrun","WATER RESEARCH","2018","https://doi.org/10.1016/j.watres.2018.01.046","452","MEL","lake",NA,"biological","phytoplankton community structure",1,10,"RMSE, R2","yes","yes","yes","assimilates","yes","no","no/don't know","""The global proliferation of harmful algal blooms poses an increasing threat to water resources, recreation and ecosystems. Predicting the occurrence of these blooms is therefore needed to assist water managers in making management decisions to mitigate their impact.""",NA,NA
"Impact of different types of meteorological data inputs on predicted hydrological and erosive responses to projected land use changes","Bhattacharyya, Suman; Sanyal, Joy","JOURNAL OF EARTH SYSTEM SCIENCE","2019","https://doi.org/10.1007/s12040-019-1076-y","465","MEL","other","Indravati river basin watershed","multiple","discharge, sediment yield",3650,3650,NA,"no","no","no","data_driven","no","no","no/don't know","""Hydrological responses to land use/land cover (LULC) changes are complex in nature and tend to have an impact on the hydrological cycle, affecting the livelihood of the inhabitants. Rainfall<U+0096>runoff models, such as the Soil and Water Assessment Tool, were used in the past to unravel the interactions between the impacts of climate and land use changes. However, the sensitivity of the model outcome, regarding the hydrological and erosive response to climatic data derived with different methods, has not been fully understood.""",NA,NA
