date,result_num,freshwater,forecast,uncertainty,nearterm,model_approach,notes,hydrological,fc
2/24/2022 9:33,1,yes; surface water,forecast,yes,no,process-based,NA,no,forecast
2/24/2022 9:35,2,yes; surface water,forecast,yes,yes,"numerical, machine",NA,no,forecast
2/24/2022 9:43,6,yes; groundwater,forecast,yes,no,empirical,NA,no,forecast
2/24/2022 9:44,7,yes; surface water,forecast,yes,no,numerical,NA,yes,forecast
2/24/2022 9:44,8,yes; surface water,forecast,yes,yes,numerical,NA,no,forecast
2/24/2022 9:48,10,yes; surface water,forecast,yes,yes,machine,NA,yes,forecast
2/24/2022 9:50,11,yes; surface water,hindcast,yes,yes,empirical,NA,yes,forecast
2/24/2022 9:52,13,yes; surface water,forecast,yes,yes,numerical,NA,yes,forecast
6/17/2022 8:44,17,yes; surface water,forecast,yes,no,"numerical, empirical",NA,no,forecast
2/24/2022 10:26,26,yes; surface water,forecast,yes,no,numerical,NA,yes,forecast
2/24/2022 10:27,27,yes; surface water,forecast,yes,yes,machine,NA,yes,forecast
2/24/2022 12:18,29,yes; surface water,hindcast,yes,yes,numerical,NA,yes,forecast
2/24/2022 12:42,39,yes; surface water,forecast,yes,yes,numerical,NA,yes,forecast
2/24/2022 12:49,41,yes; surface water,hindcast,yes,yes,numerical,NA,yes,forecast
2/24/2022 12:50,42,yes; groundwater,nowcast,yes,yes,empirical,NA,no,forecast
2/24/2022 12:51,43,yes; surface water,hindcast,yes,yes,numerical,NA,no,forecast
2/24/2022 13:09,48,yes; surface water,forecast,yes,yes,machine,NA,yes,forecast
2/24/2022 13:12,50,yes; surface water,hindcast,yes,yes,empirical,NA,yes,forecast
2/24/2022 13:14,51,yes; surface water,hindcast,yes,yes,empirical,NA,yes,forecast
2/24/2022 13:20,54,yes; surface water,hindcast,yes,yes,numerical,NA,yes,forecast
2/24/2022 13:24,56,yes; surface water,hindcast,yes,yes,numerical,NA,yes,forecast
2/24/2022 13:27,57,yes; surface water,hindcast,yes,yes,machine,NA,yes,forecast
3/1/2022 8:08,62,yes; surface water,hindcast,yes,yes,numerical,NA,yes,forecast
3/1/2022 8:11,63,yes; surface water,forecast,yes,no,numerical,NA,no,forecast
