Timestamp,Enter the Result Number (column A in spreadsheet) of the abstract you are reviewing.,"Is the study ecosystem an inland waterbody? (e.g., salty lakes, lagoons, swamps, wetlands ok, coastal oceans and estuaries not ok) For studies forecasting runoff or drought/flood risk, there must be some representation of an inland waterbody in the modeling approach.","Is the study presenting a forecast, nowcast, or hindcast?","If the study is a forecast, nowcast, or hindcast, is uncertainty specified?",Is the forecast/hindcast/nowcast near-term?,"If uncertainty is NOT specified, what modeling approach is used?",Notes (optional) - anything you think we NEED to know re: this paper?,"Are the only forecast target variables some combination of streamflow, inflow, or stream or river discharge, water level or flood risk?"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2/21/2022 11:08,549,yes; surface water,hindcast,no,yes,,,
2/24/2022 9:33,1,yes; surface water,forecast,yes,no,,,
2/24/2022 9:35,2,yes; surface water,forecast,no,no,,,
2/24/2022 9:35,3,yes; surface water,none of the above,,,,,
2/24/2022 9:39,4,yes; surface water,forecast,no,no,,,
2/24/2022 9:43,5,yes; surface water,none of the above,,,,,
2/24/2022 9:43,6,yes; groundwater,forecast,yes,no,,,
2/24/2022 9:44,7,yes; surface water,forecast,yes,no,,,
2/24/2022 9:44,8,yes; surface water,forecast,yes,yes,,,
2/24/2022 9:48,10,yes; surface water,forecast,yes,yes,,,
2/24/2022 9:50,11,yes; surface water,hindcast,yes,yes,,,
2/24/2022 9:51,12,yes; surface water,none of the above,,,,,
2/24/2022 9:52,13,yes; surface water,forecast,yes,yes,,,
2/24/2022 9:54,14,yes; surface water,forecast,no,no,,,
2/24/2022 9:56,15,yes; surface water,forecast,no,yes,,,
2/24/2022 10:00,16,yes; surface water,none of the above,no,yes,,,
2/24/2022 10:04,18,yes; surface water,none of the above,,,,,
2/24/2022 10:06,19,yes; surface water,none of the above,,,,,
2/24/2022 10:07,20,yes; surface water,forecast,no,no,,,
2/24/2022 10:10,21,yes; surface water,hindcast,no,yes,,,
2/24/2022 10:16,22,yes; surface water,forecast,no,yes,,,
2/24/2022 10:18,23,yes; surface water,forecast,no,no,,,
2/24/2022 10:20,24,yes; surface water,forecast,no,no,,,
2/24/2022 10:23,25,yes; surface water,forecast,no,yes,,,
2/24/2022 10:26,26,yes; surface water,forecast,yes,no,,,
2/24/2022 10:27,27,yes; surface water,forecast,yes,yes,,,
2/24/2022 10:30,28,yes; surface water,forecast,no,no,,,
2/24/2022 12:18,29,yes; surface water,hindcast,yes,yes,,,
2/24/2022 12:19,30,yes; surface water,none of the above,,,,,
2/24/2022 12:25,32,yes; surface water,forecast,no,yes,,,
2/24/2022 12:31,33,yes; surface water,forecast,no,no,,,
2/24/2022 12:33,34,yes; surface water,none of the above,,,,,
2/24/2022 12:35,35,yes; surface water,hindcast,no,yes,,,
2/24/2022 12:38,36,yes; surface water,forecast,no,yes,,,
2/24/2022 12:40,37,yes; surface water,forecast,yes,no,,,
2/24/2022 12:41,38,yes; groundwater,forecast,no,no,,,
2/24/2022 12:42,39,yes; surface water,forecast,yes,yes,,,
2/24/2022 12:46,40,yes; surface water,forecast,no,yes,,,
2/24/2022 12:49,41,yes; surface water,hindcast,yes,yes,,,
