canttell,Result Number,Article Title,Abstract,DOI...4,DOI...5,Author Full Names,Source Title,Author Keywords,Keywords Plus,Affiliations,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,...26
FALSE,1,Forecasting the combined effects of anticipated climate change and agricultural conservation practices on fish recruitment dynamics in Lake Erie,"Many aquatic ecosystems are experiencing multiple anthropogenic stressors that threaten their ability to support ecologically and economically important fish species. Two of the most ubiquitous stressors are climate change and non-point source nutrient pollution. Agricultural conservation practices (ACPs, i.e. farming practices that reduce runoff, prevent erosion, and curb excessive nutrient loading) offer a potential means to mitigate the negative effects of non-point source pollution on fish populations. However, our understanding of how ACP implementation amidst a changing climate will affect fish production in large ecosystems that receive substantial upstream sediment and nutrient inputs remains incomplete. Towards this end, we explored how anticipated climate change and the implementation of realistic ACPs might alter the recruitment dynamics of three fish populations (native walleye Sander vitreus and yellow perch Perca flavescens and invasive white perch Morone americana) in the highly productive, dynamic west basin of Lake Erie. We projected future (2020-2065) recruitment under different combinations of anticipated climate change (n = 2 levels) and ACP implementation (n = 4 levels) in the western Lake Erie catchment using predictive biological models driven by forecasted winter severity, spring warming rate, and Maumee River total phosphorus loads that were generated from linked climate, catchment-hydrology, and agricultural-practice-simulation models. In general, our models projected reduced walleye and yellow perch recruitment whereas invasive white perch recruitment was projected to remain stable or increase relative to the recent past. Our modelling also suggests the potential for trade-offs, as ACP implementation was projected to reduce yellow perch recruitment with anticipated climate change. Overall, our study presents a useful modelling framework to forecast fish recruitment in Lake Erie and elsewhere, as well as offering projections and new avenues of research that could help resource management agencies and policy-makers develop adaptive and resilient management strategies in the face of anticipated climate and land-management change.",https://doi.org/10.1111/fwb.13515,10.1111/fwb.13515,"Dippold, David A.; Aloysius, Noel R.; Keitzer, Steven Conor; Yen, Haw; Arnold, Jeffrey G.; Daggupati, Prasad; Fraker, Michael E.; Martin, Jay F.; Robertson, Dale M.; Sowa, Scott P.; Johnson, Mari-Vaughn V.; White, Mike J.; Ludsin, Stuart A.",FRESHWATER BIOLOGY,climate warming; eutrophication; fisheries management; multiple stressors; percid,STIZOSTEDION-VITREUM-VITREUM; LAURENTIAN GREAT-LAKES; PERCH PERCA-FLAVESCENS; FRESH-WATER FISHES; EASTERN BERING-SEA; YELLOW PERCH; WHITE PERCH; RE-EUTROPHICATION; MORONE-AMERICANA; ENVIRONMENTAL-FACTORS,NA,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",0046-5070,1365-2427,NA,FRESHWATER BIOL,Freshw. Biol.,SEP,2020,65,9,1487,1508,NA,NA
FALSE,2,Projecting the effects of agricultural conservation practices on stream fish communities in a changing climate,"How anticipated climate change might affect long-term outcomes of present-day agricultural conservation practices remains a key uncertainty that could benefit water quality and biodiversity conservation planning. To explore this issue, we forecasted how the stream fish communities in the Western Lake Erie Basin (WLEB) would respond to increasing amounts of agricultural conservation practice (ACP) implementation under two IPCC future greenhouse gas emission scenarios (RCP4.5: moderate reductions; RCP8.5: business-as-usual conditions) during 2020-2065. We used output from 19 General Circulation Models to drive linked agricultural land use (APEX), watershed hydrology (SWAT), and stream fish distribution (boosted regression tree) models, subsequently analyzing how projected changes in habitat would influence fish community composition and functional trait diversity. Our models predicted both positive and negative effects of climate change and ACP implementation on WLEB stream fishes. For most species, climate and ACPs influenced species in the same direction, with climate effects outweighing those of ACP implementation. Functional trait analysis helped clarify the varied responses among species, indicating that more extreme climate change would reduce available habitat for large-bodied, cool-water species with equilibrium life-histories, many of which also are of importance to recreational fishing (e.g., northern pike, smallmouth bass). By contrast, available habitat forwarm-water, benthic species with more periodic or opportunistic life-histories (e.g., northern hogsucker, greater redhorse, greenside darter) was predicted to increase. Further, ACP implementation was projected to hasten these shifts, suggesting that efforts to improve water quality could come with costs to other ecosystem services (e.g., recreational fishing opportunities). Collectively, our findings demonstrate the need to consider biological outcomes when developing strategies to mitigate water quality impairment and highlight the value of physical-biological modeling approaches to agricultural and biological conservation planning in a changing climate. (C) 2020 The Authors. Published by Elsevier B.V.",https://doi.org/10.1016/j.scitotenv.2020.141112,10.1016/j.scitotenv.2020.141112,"Fraker, Michael E.; Keitzer, S. Conor; Sinclair, James S.; Aloysius, Noel R.; Dippold, David A.; Yen, Haw; Arnold, Jeffrey G.; Daggupati, Prasad; Johnson, Mari-Vaughn V.; Martin, Jay F.; Robertson, Dale M.; Sowa, Scott P.; White, Michael J.; Ludsin, Stuart A.",SCIENCE OF THE TOTAL ENVIRONMENT,Best management practice; Coupled natural and human system; General Circulation Model; Multiple stressors; Species distribution model; Trait analysis,FRESH-WATER FISHES; LAND-USE CHANGE; LAKE-ERIE; FUNCTIONAL DIVERSITY; FLOW REGIMES; HISTORY; LIFE; IMPACTS; BIODIVERSITY; ASSEMBLAGES,NA,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0048-9697,1879-1026,NA,SCI TOTAL ENVIRON,Sci. Total Environ.,10-Dec,2020,747,NA,NA,NA,141112,NA
FALSE,6,A meta-modeling approach for hydrological forecasting under uncertainty: Application to groundwater nitrate response to climate change,"We suggest a quantitative predictive approach based on meta-modeling techniques for long-term forecasting in hydrology. We apply our scalable methodological framework to a representative groundwater body in EmiliaRomagna region of Italy to evaluate the potential impact of climate change on groundwater nitrate concentration. The approach allows to (i) handle the uncertainty associated with the projection of climate variables, (ii) preserve an accurate description of flow and transport processes, and (iii) drastically accelerate computationally intensive simulations, at a time. A long-term climate scenario (i.e. referred to the 30-years 2061-2090) is developed for the study area by considering changes in the natural recharge to groundwater, the baseflow of the main rivers, and the rate of nitrate leaching. Global sensitivity analysis is performed to assess the relative influence of these factors on the quantity of interest (QoI), i.e. the long-term prediction of groundwater nitrate concentration. Our analysis enables also us to compute the spatial statistics and variability of the moments of the QoI over the study area and to perform Monte Carlo simulations to fully characterize the probabilistic behavior of the QoI at selected sensitive locations.",https://doi.org/10.1016/j.jhydrol.2021.127173,10.1016/j.jhydrol.2021.127173,"Focaccia, S.; Panini, G.; Pedrazzoli, P.; Ciriello, V",JOURNAL OF HYDROLOGY,Meta-modeling; Polynomial chaos expansion; Nitrate contamination; Climate change; Groundwater,GLOBAL SENSITIVITY-ANALYSIS; POLYNOMIAL CHAOS; FRAMEWORK; IMPACTS,NA,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0022-1694,1879-2707,NA,J HYDROL,J. Hydrol.,DEC,2021,603,NA,NA,NA,127173,NA
FALSE,7,A multi-scenario ensemble streamflow forecast method for Amu Darya River Basin under considering climate and land-use changes,"Land-use and climate changes have impacts on hydrological processes for river basin. In this study, a multi-scenario ensemble streamflow forecast (MESF) method is developed for analyzing the streamflow variation under considering climate and land-use changes, through incorporating CA-Markov model, global climate model (GCM) and Soil and Water Assessment Tool (SWAT) model within a general framework. The advantages of MESF are as follows: (i) it can simultaneously assess the impacts of land-use and climate changes on streamflow; (ii) it can obtain the possible trend and the range of future streamflows through ensemble forecast under multiple scenarios; (iii) based on analysis of streamflow processes under extreme scenarios, it can examine the effects of key factors on streamflow. The MESF method is applied to the upper reaches of the Amu Darya River Basin in Central Asia. Totally 72 scenarios, under different land-use patterns, GCMs and Representative Concentration Pathways (RCPs), are analyzed. Ensemble forecast results reveal that (i) during 2021-2050, the average annual precipitation and the average annual temperature would both increase, but the mean annual streamflow would decrease; (ii) compared to the impact of land-use change, climate change has more obvious effects on the streamflow (with contribution of 78.8%-98.7%); (iii) among all factors of land-use change, glacier melting triggered by climate warming is the most prominent factor; (iv) the peak flow in one year would have a tendency to shift from summer to spring due to the rising temperature and the speeding up snow melt.",https://doi.org/10.1016/j.jhydrol.2021.126276,10.1016/j.jhydrol.2021.126276,"Xu, Z. P.; Li, Y. P.; Huang, G. H.; Wang, S. G.; Liu, Y. R.",JOURNAL OF HYDROLOGY,CA-Markov; Climate change; Ensemble forecast; Land-use change; Multiple scenarios; SWAT,WATER-RESOURCES; CHANGE IMPACTS; COVER CHANGES; CA-MARKOV; HYDROLOGICAL RESPONSE; MODEL; UNCERTAINTY; SIMULATION; GLACIER; RAINFALL,NA,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",0022-1694,1879-2707,NA,J HYDROL,J. Hydrol.,JUL,2021,598,NA,NA,NA,126276,NA
FALSE,8,Forecasting water temperature in lakes and reservoirs using seasonal climate prediction,"Seasonal climate forecasts produce probabilistic predictions of meteorological variables for subsequent months. This provides a potential resource to predict the influence of seasonal climate anomalies on surface water balance in catchments and hydro-thermodynamics in related water bodies (e.g., lakes or reservoirs). Obtaining seasonal forecasts for impact variables (e.g., discharge and water temperature) requires a link between seasonal climate forecasts and impact models simulating hydrology and lake hydrodynamics and thermal regimes. However, this link remains challenging for stakeholders and the water scientific community, mainly due to the probabilistic nature of these predictions. In this paper, we introduce a feasible, robust, and open-source workflow integrating seasonal climate forecasts with hydrologic and lake models to generate seasonal forecasts of discharge and water temperature profiles. The workflow has been designed to be applicable to any catchment and associated lake or reservoir, and is optimized in this study for four catchment-lake systems to help in their proactive management. We assessed the performance of the resulting seasonal forecasts of discharge and water temperature by comparing them with hydrologic and lake (pseudo)observations (reanalysis). Precisely, we analysed the historical performance using a data sample of past forecasts and reanalysis to obtain information about the skill (performance or quality) of the seasonal forecast system to predict particular events. We used the current seasonal climate forecast system (SEAS5) and reanalysis (ERA5) of the European Centre for Medium Range Weather Forecasts (ECMWF). We found that due to the limited predictability at seasonal time-scales over the locations of the four case studies (Europe and South of Australia), seasonal forecasts exhibited none to low performance (skill) for the atmospheric variables considered. Nevertheless, seasonal forecasts for discharge present some skill in all but one case study. Moreover, seasonal forecasts for water temperature had higher performance in natural lakes than in reservoirs, which means human water control is a relevant factor affecting predictability, and the performance increases with water depth in all four case studies. Further investigation into the skillful water temperature predictions should aim to identify the extent to which performance is a consequence of thermal inertia (i.e., lead-in conditions). (c) 2021 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY-NC-ND license ( http://creativecommons.org/licenses/by-nc-nd/4.0/ )",https://doi.org/10.1016/j.watres.2021.117286,10.1016/j.watres.2021.117286,"Mercado-Bettin, Daniel; Clayer, Francois; Shikhani, Muhammed; Moore, Tadhg N.; Frias, Maria Dolores; Jackson-Blake, Leah; Sample, James; Iturbide, Maialen; Herrera, Sixto; French, Andrew S.; Norling, Magnus Dahler; Rinke, Karsten; Marce, Rafael",WATER RESEARCH,Seasonal forecasting; Water management; Hydrologic modeling; Lake modeling,SKILL; PRECIPITATION; UNCERTAINTY; FRAMEWORK; MODELS; ENSO,NA,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0043-1354,1879-2448,NA,WATER RES,Water Res.,1-Aug,2021,201,NA,NA,NA,117286,NA
FALSE,10,Enhancing Ensemble Seasonal Streamflow Forecasts in the Upper Colorado River Basin Using Multi-Model Climate Forecasts,"In the Colorado River Basin (CRB), ensemble streamflow prediction (ESP) forecasts drive operational planning models that project future reservoir system conditions. CRB operational seasonal streamflow forecasts are produced using ESP, which represents climate using an ensemble of meteorological sequences of historical temperature and precipitation, but do not typically leverage additional real-time subseasonal-to-seasonal climate forecasts. Any improvements to streamflow forecasts would help stakeholders who depend on operational projections for decision making. We explore incorporating climate forecasts into ESP through variations on an ESP trace weighting approach, focusing on Colorado River unregulated inflows forecasts to Lake Powell. The k-nearest neighbors (kNN) technique is employed using North American Multi-Model Ensemble one- and three-month temperature and precipitation forecasts, and preceding three-month historical streamflow, as weighting factors. The benefit of disaggregated climate forecast information is assessed through the comparison of two kNN weighting strategies; a basin-wide kNN uses the same ESP weights over the entire basin, and a disaggregated-basin kNN applies ESP weights separately to four subbasins. We find in general that climate-informed forecasts add greater marginal skill in late winter and early spring, and that more spatially granular disaggregated-basin use of climate forecasts slightly improves skill over the basin-wide method at most lead times.",https://doi.org/10.1111/1752-1688.12960,10.1111/1752-1688.12960,"Baker, Sarah A.; Rajagopalan, Balaji; Wood, Andrew W.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,streamflow forecasts; trace weighting; subseasonal-to-seasonal; climate forecasts; Colorado River; NMME; reservoir inflows,PREDICTION; SKILL; COLUMBIA; MODEL; SCORE; ENSO,NA,WILEY,HOBOKEN,"111 RIVER ST, HOBOKEN 07030-5774, NJ USA",1093-474X,1752-1688,NA,J AM WATER RESOUR AS,J. Am. Water Resour. Assoc.,DEC,2021,57,6,906,922,NA,NA
FALSE,11,"Forecasting low flow conditions months in advance through teleconnection patterns, with a special focus on summer 2018","Over the past decades, Europe has been affected by several low flow periods which had substantial impacts on the hydrology of the rivers themselves as well as on the society and economy. Low flow periods have a direct impact on the environment, on the inland waterway navigation, on the hydropower production as well as on the sediment management, among others. Similar to floods, low flows are naturally occurring phenomena which can significantly hinder different uses and functions of the rivers and impact the aquatic system and the water quality. Moreover, it is projected that, in the future, climate change might lead to drier summers over the European region and therefore to more frequent and severe low flow periods. The results presented here show that the summer 2018 low flow situation, over the Rhine and Elbe Rivers basin, could have been predicted up to two seasons ahead by using previous months' sea surface temperature, sea level pressure, precipitation, mean air temperature and soil moisture. The lagged relationship between the predictand (e.g. seasonal streamflow) and the climate and oceanic predictors varies between 1 month (e.g. precipitation) up to 6 months (e.g. sea surface temperature). Taking into account that all predictors are available in real-time, the forecast scheme can be used to provide early warnings for the upcoming low flow situations, thus offering the possibility for better management of the water resources.",https://doi.org/10.1038/s41598-020-70060-8,10.1038/s41598-020-70060-8,"Ionita, M.; Nagavciuc, V",SCIENTIFIC REPORTS,NA,NORTH-ATLANTIC OSCILLATION; VARIABILITY; STREAMFLOW; DROUGHT; TEMPERATURE; CLIMATE,NA,NATURE RESEARCH,BERLIN,"HEIDELBERGER PLATZ 3, BERLIN, 14197, GERMANY",2045-2322,NA,NA,SCI REP-UK,Sci Rep,6-Aug,2020,10,1,NA,NA,13258,NA
FALSE,13,Ensemble Based Forecasting and Optimization Framework to Optimize Releases from Water Supply Reservoirs for Flood Control,"Water supply reservoir management is based on long-term management policies which depend on customer demands and seasonal hydrologic changes. However, increasing frequency and intensity of precipitation events is necessitating the short-term management of such reservoirs to reduce downstream flooding. Operational management of reservoirs at hourly/daily timescales is challenging due to the uncertainty associated with the inflow forecasts and the volumes in the reservoir. We present an ensemble-based streamflow prediction and optimization framework consisting of a regional scale hydrologic model forced with ensemble precipitation inputs to obtain probabilistic inflows to the reservoir. A multi-objective dynamic programming model was used to obtain optimized release strategies accounting for the inflow uncertainties. The proposed framework was evaluated at a water supply reservoir in the Hackensack River basin in New Jersey during Hurricanes Irene and Sandy. Hurricane Irene resulted in the overtopping of the dam despite releases made in anticipation of the event and resulted in severe downstream flooding. Hurricane Sandy was characterized by low rainfall, however, raised significant concerns of flooding given the nature of the event. The improvement in NSE for the Hurricane Irene inflows from 0.5 to 0.76 and reduction of the spread of PBIAS with decreasing lead times resulted in improvements in the forecast informed releases. This study provides perspectives on the benefits of the proposed forecasting and optimization framework in reducing the decision making burden on the operator by providing the uncertainties associated with the inflows, releases and the water levels in the reservoir.",https://doi.org/10.1007/s11269-019-02481-8,10.1007/s11269-019-02481-8,"Ramaswamy, V.; Saleh, F.",WATER RESOURCES MANAGEMENT,ECMWF; flood control; Irene; ensemble; Dynamic programming,ARTIFICIAL NEURAL-NETWORKS; OPTIMAL OPERATION; HURRICANE IRENE; CLIMATE-CHANGE; PREDICTION; INFLOW; SYSTEM; MODELS; ECMWF; MANAGEMENT,NA,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0920-4741,1573-1650,NA,WATER RESOUR MANAG,Water Resour. Manag.,FEB,2020,34,3,989,1004,NA,NA
FALSE,17,Predicting Lake Quality for the Next Generation: Impacts of Catchment Management and Climatic Factors in a Probabilistic Model Framework,"Lake ecosystems across the world are under combined pressures of eutrophication and climate change, which increase the risk of harmful cyanobacteria blooms, reduced ecological status, and degraded ecosystem services. In Europe, the third cycle of river basin management plans (2021-2027) according to the Water Framework Directive must take into account the potential impacts of climate change on water quality, including effects on relevant biological indicators. Here, we applied a Bayesian network as a meta-model for linking future climate and land-use scenarios for the time horizon 2050-2070, via process-based catchment and lake models, to cyanobacteria abundance and ecological status of a eutrophic lake. Building upon previous applications of the model, a new version was developed to include relevant climatic variables such as wind speed. Explorative scenarios showed that the combination of low wind and high temperature gave the most synergistic effects on cyanobacteria under high levels of eutrophication (Chl-a concentration). Considering the management target of good ecological status, however, the climate-related promotion of cyanobacteria blooms contributed most to degrading the ecological status at intermediate levels of eutrophication. Future developments of this model will aim to strengthen the link between climate variables and ecological responses, to make the model also useful for seasonal forecasting.",https://doi.org/10.3390/w11091767,10.3390/w11091767,"Moe, S. Jannicke; Couture, Raoul-Marie; Haande, Sigrid; Solheim, Anne Lyche; Jackson-Blake, Leah",WATER,ecological status; cyanobacteria; climate change scenarios; socio-economic scenarios; eutrophication; lake; Bayesian network model; wind; river basin management; Water Framework Directive,BAYESIAN BELIEF NETWORKS; ALGAL BLOOMS; ECOLOGICAL STATUS; WATER-QUALITY; LAND-USE; UNCERTAINTY; ECOSYSTEMS; RESOURCES; DOMINANCE; DYNAMICS,NA,MDPI,BASEL,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND",NA,2073-4441,NA,WATER-SUI,Water,SEP,2019,11,9,NA,NA,1767,NA
FALSE,26,Simulating Climate Change Impacts on Surface Water Resources Within a Lake-Affected Region Using Regional Climate Projections,"This study aims to assess the impact of climate change on water resources in a large watershed within the Laurentian Great Lakes region, using the fully integrated surface-subsurface model HydroGeoSphere. The hydrologic model is forced with an ensemble of high-resolution climate projections from the Weather Research and Forecasting (WRF) model. The latter has been extended with an interactive lake model (FLake) to capture the effect of the Great Lakes on the regional climate. The WRF ensemble encompasses two different moist physics configurations at resolutions of 90, 30, and 10km, as well as four different initial and boundary conditions, so as to control for natural climate variability. The integrated hydrologic model is run with a representative seasonal cycle, which effectively controls natural climate variability, while remaining computationally tractable with a large integrated model. However, the range of natural variability is also investigated, as are the impacts of climate model resolution and bias correction. The two WRF configurations show opposite climate change responses in summer precipitation, but similar responses otherwise. The hydrologic simulations generally follow the climate forcing; however, due to the memory of the subsurface, the differences in summer propagate throughout the entire seasonal cycle. This results in a set of dry scenarios with reduced streamflow and water availability year-round and a set of wet scenarios with increased streamflow for all times excluding the spring peak, which does not increase. Most of the analysis focuses on streamflow, but changes in the seasonal cycle of baseflow and groundwater recharge are also analyzed. Plain Language Summary In this study we investigate the impact of climate change on water resources using state-of-the-art computer simulations. The simulations were conducted using physically based models, which simulate the circulation of the atmosphere, rainfall, and the flow of water above and below the surface. The region of interest here is the Grand River Watershed, located in the Great Lakes region (southern Ontario, Canada). We show that with high resolution and a physical representation of the Great Lakes, only a simple correctionmuch less than for global climate modelsis necessary, in order to simulate a realistic climate. We find that predicted climate change impacts on water resources depend strongly on some approximations commonly made to represent thunderstorms and precipitation in climate models. The most likely scenario, based on our analysis, is an increase in precipitation and streamflow in all seasons except spring, but some scenarios also show less precipitation in summer, which results in lower streamflow year-round. A major result is that differences in summer precipitation can affect streamflow in all seasons, but only if the interaction with groundwater is properly accounted for. At the moment uncertainty in future summer precipitation changes limits our ability to predict impacts on water resources.",https://doi.org/10.1029/2018WR024381,10.1029/2018WR024381,"Erler, Andre R.; Frey, Steven K.; Khader, Omar; d'Orgeville, Marc; Park, Young-Jin; Hwang, Hyoun-Tae; Lapen, David R.; Peltier, W. Richard; Sudicky, Edward A.",WATER RESOURCES RESEARCH,water resources; climate change; regional climate modeling; integrated hydrologic modeling; Great Lakes region; hydroclimatology,INTEGRATED HYDROLOGIC MODEL; GREAT-LAKES; WESTERN CANADA; NORTH-AMERICA; GROUNDWATER; SCALE; UNCERTAINTY; VARIABILITY; PERFORMANCE; ENSEMBLE,NA,AMER GEOPHYSICAL UNION,WASHINGTON,"2000 FLORIDA AVE NW, WASHINGTON, DC 20009 USA",0043-1397,1944-7973,NA,WATER RESOUR RES,Water Resour. Res.,JAN,2019,55,1,130,155,NA,NA
